asof,asset,long,short,index
2021-07-07T19:02:10.524244,eth,104.87,143.81,99.6322066431601
2021-07-07T19:02:11.016607,btc,89.92,160.09,86.20177736145335
2021-07-07T19:03:00.690997,eth,104.87,143.81,99.6322066431601
2021-07-07T19:03:00.957221,btc,89.92,160.09,86.20177736145335
2021-07-07T19:04:03.790378,eth,104.87,143.81,99.6322066431601
2021-07-07T19:04:04.750087,btc,89.92,160.09,86.20177736145335
2021-07-07T19:05:01.367516,eth,104.87,143.81,99.6322066431601
2021-07-07T19:05:01.664672,btc,89.92,160.09,86.20177736145335
2021-07-07T19:06:02.705259,eth,104.86,143.81,99.7029155928485
2021-07-07T19:06:07.405349,btc,89.92,160.09,86.36235206388028
2021-07-07T19:07:00.961442,eth,104.86,143.81,99.7029155928485
2021-07-07T19:07:01.135008,btc,89.92,160.09,86.36235206388028
2021-07-07T19:08:01.170094,eth,104.86,143.81,99.7029155928485
2021-07-07T19:08:09.008462,btc,89.92,160.09,86.36235206388028
2021-07-07T19:09:00.509385,eth,104.86,143.81,99.7029155928485
2021-07-07T19:09:00.709407,btc,89.92,160.09,86.36235206388028
2021-07-07T19:10:06.433987,eth,104.86,143.81,99.7029155928485
2021-07-07T19:10:07.516055,btc,89.92,160.09,86.36235206388028
2021-07-07T19:11:01.087530,eth,104.86,143.81,99.68101653185859
2021-07-07T19:11:01.311940,btc,89.92,160.09,88.05310984361391
2021-07-07T19:12:05.967152,eth,104.86,143.81,99.68101653185859
2021-07-07T19:12:06.563350,btc,89.92,160.09,88.05310984361391
2021-07-07T19:13:01.181325,eth,104.86,143.81,99.68101653185859
2021-07-07T19:13:01.388100,btc,89.92,160.09,88.05310984361391
2021-07-07T19:14:01.335940,eth,104.86,143.81,99.68101653185859
2021-07-07T19:14:04.786265,btc,89.92,160.09,88.05310984361391
2021-07-07T19:15:01.294093,eth,104.86,143.81,99.68101653185859
2021-07-07T19:15:01.467262,btc,89.92,160.09,88.05310984361391
2021-07-07T19:16:03.992290,eth,104.86,143.81,99.69791242362783
2021-07-07T19:16:04.672959,btc,89.92,160.09,86.43511884676683
2021-07-07T19:17:01.219774,eth,104.86,143.81,99.69791242362783
2021-07-07T19:17:01.442712,btc,89.92,160.09,86.43511884676683
2021-07-07T19:18:01.539720,eth,104.86,143.81,99.69791242362783
2021-07-07T19:18:04.142762,btc,89.92,160.09,86.43511884676683
2021-07-07T19:19:00.740077,eth,104.86,143.81,99.69791242362783
2021-07-07T19:19:00.952036,btc,89.92,160.09,86.43511884676683
2021-07-07T19:20:02.936368,eth,104.86,143.81,99.69791242362783
2021-07-07T19:20:18.664034,btc,89.92,160.09,86.16483785398896
2021-07-07T19:21:01.575580,eth,104.86,143.81,99.54870945158376
2021-07-07T19:21:01.811455,btc,89.92,160.09,86.16483785398896
2021-07-07T19:22:04.079095,eth,104.86,143.81,99.54870945158376
2021-07-07T19:22:04.510083,btc,89.92,160.09,86.16483785398896
2021-07-07T19:23:01.313761,eth,104.86,143.81,99.54870945158376
2021-07-07T19:23:01.562227,btc,89.92,160.09,86.16483785398896
2021-07-07T19:24:04.488236,eth,104.86,143.81,99.54870945158376
2021-07-07T19:24:05.083742,btc,89.92,160.09,86.16483785398896
2021-07-07T19:25:00.945179,eth,104.86,143.81,99.54870945158376
2021-07-07T19:25:01.195237,btc,89.92,160.09,86.16483785398896
2021-07-07T19:26:01.478371,eth,104.86,143.81,99.48859693170553
2021-07-07T19:26:01.994725,btc,89.92,160.09,86.13125624409143
2021-07-07T19:27:00.677141,eth,104.86,143.81,99.48859693170553
2021-07-07T19:27:00.918343,btc,89.92,160.09,86.13125624409143
2021-07-07T19:28:02.092517,eth,104.86,143.81,99.48859693170553
2021-07-07T19:28:03.318030,btc,89.92,160.09,86.13125624409143
2021-07-07T19:29:01.147518,eth,104.86,143.81,99.48859693170553
2021-07-07T19:29:01.419390,btc,89.92,160.09,86.13125624409143
